Price,Close,Lag1,Lag2,Lag3,MA5,MA10,RSI
Ticker,AAPL,,,,,,
Date,,,,,,,
2020-01-22,76.91658020019531,76.64300537109375,77.16594696044922,76.32101440429688,76.48466644287109,75.8360710144043,70.86825475760185
2020-01-23,77.28700256347656,76.91658020019531,76.64300537109375,77.16594696044922,76.86670989990235,76.22440643310547,71.90239993448876
2020-01-24,77.06426239013672,77.28700256347656,76.91658020019531,76.64300537109375,77.0153594970703,76.43455276489257,75.4013265993834
2020-01-27,74.79817199707031,77.06426239013672,77.28700256347656,76.91658020019531,76.54180450439453,76.40114212036133,59.51338422725336
2020-01-28,76.91416931152344,74.79817199707031,77.06426239013672,77.28700256347656,76.59603729248047,76.41881637573242,67.41250263696136
2020-01-29,78.52415466308594,76.91416931152344,74.79817199707031,77.06426239013672,76.9175521850586,76.70110931396485,68.4651392104028
2020-01-30,78.41036987304688,78.52415466308594,76.91416931152344,74.79817199707031,77.14222564697266,77.0044677734375,63.879145653015215
2020-01-31,74.93373107910156,78.41036987304688,78.52415466308594,76.91416931152344,76.71611938476562,76.86573944091796,49.36877421307799
2020-02-03,74.72797393798828,74.93373107910156,78.41036987304688,78.52415466308594,76.70207977294922,76.62194213867187,42.987542366338026
2020-02-04,77.19499206542969,74.72797393798828,74.93373107910156,78.41036987304688,76.75824432373047,76.67714080810546,54.73954311415368
2020-02-05,77.82447814941406,77.19499206542969,74.72797393798828,74.93373107910156,76.6183090209961,76.76793060302734,57.61875631682536
2020-02-06,78.73477172851562,77.82447814941406,77.19499206542969,74.72797393798828,76.68318939208984,76.91270751953125,57.5290332406808
2020-02-07,77.66456604003906,78.73477172851562,77.82447814941406,77.19499206542969,77.22935638427734,76.97273788452148,51.533746650539506
2020-02-10,78.03343963623047,77.66456604003906,78.73477172851562,77.82447814941406,77.89044952392578,77.2962646484375,54.317885985084146
2020-02-11,77.56265258789062,78.03343963623047,77.66456604003906,78.73477172851562,77.96398162841797,77.36111297607422,51.98205055467081
2020-02-12,79.40458679199219,77.56265258789062,78.03343963623047,77.66456604003906,78.28000335693359,77.44915618896485,55.958449115021445
2020-02-13,78.83912658691406,79.40458679199219,77.56265258789062,78.03343963623047,78.30087432861328,77.49203186035156,54.89960686886404
2020-02-14,78.85855102539062,78.83912658691406,79.40458679199219,77.56265258789062,78.5396713256836,77.88451385498047,62.796134918169486
2020-02-18,77.41461181640625,78.85855102539062,78.83912658691406,79.40458679199219,78.41590576171875,78.15317764282227,51.64688714878676
2020-02-19,78.53580474853516,77.41461181640625,78.85855102539062,78.83912658691406,78.61053619384765,78.28725891113281,50.039613217272915
2020-02-20,77.73009490966797,78.53580474853516,77.41461181640625,78.85855102539062,78.27563781738282,78.2778205871582,47.79084465969865
2020-02-21,75.97065734863281,77.73009490966797,78.53580474853516,77.41461181640625,77.70194396972656,78.00140914916992,53.79006827655519
2020-02-24,72.36201477050781,75.97065734863281,77.73009490966797,78.53580474853516,76.40263671875,77.4711540222168,43.07486517569031
2020-02-25,69.91098022460938,72.36201477050781,75.97065734863281,77.73009490966797,74.90191040039062,76.65890808105469,28.659815014327677
2020-02-26,71.02000427246094,69.91098022460938,72.36201477050781,75.97065734863281,73.39875030517578,76.00464324951172,30.609570290079418
2020-02-27,66.37757110595703,71.02000427246094,69.91098022460938,72.36201477050781,71.1282455444336,74.7019416809082,20.962630196241392
2020-02-28,66.33873748779297,66.37757110595703,71.02000427246094,69.91098022460938,69.20186157226563,73.4519027709961,22.030470510166822
2020-03-02,72.51490783691406,66.33873748779297,66.37757110595703,71.02000427246094,69.23244018554688,72.81753845214844,39.409444288105874
2020-03-03,70.21189880371094,72.51490783691406,66.33873748779297,66.37757110595703,69.2926239013672,72.0972671508789,36.82010863706825
2020-03-04,73.46864318847656,70.21189880371094,72.51490783691406,66.33873748779297,69.78235168457032,71.59055099487304,39.87076844242019
2020-03-05,71.08554077148438,73.46864318847656,70.21189880371094,72.51490783691406,70.72394561767578,70.92609558105468,37.54191806883904
2020-03-06,70.14151000976562,71.08554077148438,73.46864318847656,70.21189880371094,71.48450012207032,70.34318084716797,36.39803046681175
2020-03-09,64.59388732910156,70.14151000976562,71.08554077148438,73.46864318847656,69.90029602050781,69.56636810302734,32.26584671807386
2020-03-10,69.24604034423828,64.59388732910156,70.14151000976562,71.08554077148438,69.70712432861328,69.49987411499023,38.29354229110569
2020-03-11,66.84109497070312,69.24604034423828,64.59388732910156,70.14151000976562,68.3816146850586,69.08198318481445,36.8099043987163
2020-03-12,60.240211486816406,66.84109497070312,69.24604034423828,64.59388732910156,66.212548828125,68.46824722290039,32.94567071103869
2020-03-13,67.4574966430664,60.240211486816406,66.84109497070312,69.24604034423828,65.67574615478516,68.58012313842774,45.068583166880266
2020-03-16,58.779296875,67.4574966430664,60.240211486816406,66.84109497070312,64.51282806396485,67.20656204223633,40.05290384861864
2020-03-17,61.36381912231445,58.779296875,67.4574966430664,60.240211486816406,62.93638381958008,66.32175407409667,41.593073304375785
2020-03-18,59.86163330078125,61.36381912231445,58.779296875,67.4574966430664,61.5404914855957,64.96105308532715,43.99891762876662
2020-03-19,59.402976989746094,59.86163330078125,61.36381912231445,58.779296875,61.37304458618164,63.79279670715332,43.66128448580615
